Glottocode,ISO,Name_SIL,Language name,Longitude,Latitude,Area_GLOT,Continent_SIL,Country,Status_GLOT,Population_SIL,Family_SIL_Lv1,Family_SIL_Lv2,Family_SIL_Lv3,Family_GLOT_Lv1,Family_GLOT_Lv2,Family_GLOT_Lv3
aari1239,aiw,Aari,Aari,36.5721,5.95034,Africa,Africa,Ethiopia (ET),not endangered,155000,Afro-Asiatic,Omotic,NA,South Omotic,AHK,Aari-Gayil
aasa1238,aas,Aasax,Aasax,36.8648,-4.00679,Africa,Africa,"Tanzania, United Republic of (TZ)",extinct,350,Afro-Asiatic,Cushitic,NA,Afro-Asiatic,Cushitic,South Cushitic
abad1241,kbt,Abadi,Abadi,146.992,-9.03389,Papunesia,Pacific,Papua New Guinea (PG),not endangered,4300,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
abag1245,abg,Abaga,Abaga,145.665,-6.12028,Papunesia,Pacific,Papua New Guinea (PG),nearly extinct,5,Trans-New Guinea,Madang,NA,Nuclear Trans New Guinea,Kainantu-Goroka,Goroka
abai1240,abf,Abai Sungai,Abai Sungai,118.306,5.55394,Papunesia,Asia,Malaysia (MY),shifting,500,Austronesian,Malayo-Polynesian,Sabahan,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
abai1241,unknow,NA,Abai Tubu-Abai Sembuak,116.162,3.52423,Eurasia,NA,Malaysia (MY),NA,NA,NA,NA,NA,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
aban1242,abm,Abanyom,Abanyom,8.63055,6.30619,Africa,Africa,Nigeria (NG),not endangered,12500,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
abar1238,mij,Abar,Mungbam,10.2267,6.5805,Africa,Africa,Cameroon (CM),shifting,2000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
abau1245,aau,Abau,Abau,141.324,-3.97222,Papunesia,Pacific,Papua New Guinea (PG),shifting,7270,Sepik,Abau,NA,Sepik,NA,NA
abaz1241,abq,Abaza,Abaza,42,44.25,Eurasia,Europe,Russian Federation (RU) / Turkey (TR),threatened,38200,North Caucasian,West Caucasian,NA,Abkhaz-Adyge,Abkhaz-Abaza,NA
abee1242,aba,Abe,Ab?,-4.38497,5.59682,Africa,Africa,C?te d'Ivoire (CI),not endangered,170000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
aben1249,abp,Abellen Ayta,Abenlen Ayta,120.2,15.4131,Papunesia,Asia,Philippines (PH),shifting,3000,Austronesian,Malayo-Polynesian,Central Luzon,Austronesian,Malayo-Polynesian,Central Luzon
abid1235,abi,Abidji,Abidji,-4.58421,5.65656,Africa,Africa,C?te d'Ivoire (CI),not endangered,50500,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
abin1243,bsa,Abinomn,Abinomn,138.891,-2.92281,Papunesia,Asia,Indonesia (ID),shifting,300,Language Isolate,NA,NA,NA,NA,NA
abip1241,axb,Abipon,Abipon,-61,-29,South America,Americas,Argentina (AR),extinct,0,Mataco-Guaicuru,Guaicuruan,NA,Guaicuruan,Guaicuru del Sur,NA
abis1238,ash,Abishira,Aewa,-75.0844,-1.2841,South America,Americas,Peru (PE),extinct,0,Unclassified,NA,NA,NA,NA,NA
abkh1244,abk,Abkhaz,Abkhazian,41.1591,43.0562,Eurasia,Asia,Georgia (GE) / Russian Federation (RU) / Turkey (TR),threatened,101000,North Caucasian,West Caucasian,NA,Abkhaz-Adyge,Abkhaz-Abaza,NA
abom1238,aob,Abom,Abom,142.842,-8.42448,Papunesia,Pacific,Papua New Guinea (PG),nearly extinct,15,Trans-New Guinea,Tirio,NA,Anim,Tirio,NA
abon1238,abo,Abon,Abon,10.8769,6.90621,Africa,Africa,Cameroon (CM) / Nigeria (NG),not endangered,1000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
abro1238,abr,Abron,Abron,-2.50289,7.72094,Africa,Africa,C?te d'Ivoire (CI) / Ghana (GH),not endangered,1050000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
abua1244,abn,Abua,Abua,6.61492,4.83057,Africa,Africa,Nigeria (NG),not endangered,25000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
abua1245,aah,NA,Abu' Arapesh,142.917,-3.46161,Papunesia,NA,Papua New Guinea (PG),shifting,NA,NA,NA,NA,Nuclear Torricelli,Kombio-Arapesh-Urat,Arapesh
abui1241,abz,Abui,Abui,124.588,-8.31058,Papunesia,Asia,Indonesia (ID),shifting,16000,Trans-New Guinea,West,Alor-Pantar,Timor-Alor-Pantar,Alor-Pantar,Alor
abun1252,kgr,Abun,Abun,132.416,-0.57073,Papunesia,Asia,Indonesia (ID),shifting,3000,Language Isolate,NA,NA,NA,NA,NA
abur1243,abu,Abure,Abure,-3.64123,5.21534,Africa,Africa,C?te d'Ivoire (CI),not endangered,55100,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
abur1244,mgj,Abureni,Abureni,6.50634,4.62301,Africa,Africa,Nigeria (NG),not endangered,4000,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
abuu1241,ado,Abu,Abu,144.474,-4.24027,Papunesia,Pacific,Papua New Guinea (PG),shifting,4200,Ramu-Lower Sepik,Ramu,NA,Lower Sepik-Ramu,Ramu,Agoan
acat1239,tpx,Acatepec Me'phaa,Acatepec Me'phaa,-99.0602,17.1034,North America,Americas,Mexico (MX),not endangered,54000,Oto-Manguean,Subtiaba-Tlapanecan,NA,Otomanguean,Western Otomanguean,Tlapanec-Manguean
acha1249,acn,Achang,Longchuan Achang,97.7438,24.3479,Eurasia,Asia,China (CN) / Myanmar (MM),shifting,35000,Sino-Tibetan,Tibeto-Burman,Burmish,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
acha1250,aca,Achagua,Achagua,-72.2005,4.38649,South America,Americas,Colombia (CO),shifting,250,Arawakan,Maipuran,Inland,Arawakan,Northern Maipuran,Inland Northern Maipuran
ache1244,yif,Ache,Ache,102.446,24.152,Eurasia,Asia,China (CN),threatened,35000,Sino-Tibetan,Tibeto-Burman,Ngwi,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
ache1245,acz,Acheron,Acheron,30.3187,10.8827,Africa,Africa,Sudan (SD),threatened,0,Niger-Congo,Kordofanian,Talodi Proper,Narrow Talodi,Buram-Saraf,Acheron-Tocho
ache1246,guq,Ache,Ach?,-56.4697,-25.5865,South America,Americas,Paraguay (PY),moribund,1360,Tupi,Tupi-Guarani,NA,Tupian,Maweti-Guarani,Aweti-Guarani
achi1256,acr,Rabinal Achi,Achi,-90.3513,15.073,North America,Americas,Guatemala (GT),threatened,37300,Mayan,Quichean-Mamean,Quichean,Mayan,Core Mayan,Quichean-Mamean
achi1257,ace,Aceh,Achinese,96.6032,3.90757,Eurasia,Asia,Indonesia (ID),threatened,3500000,Austronesian,Malayo-Polynesian,North and East,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
acht1238,act,Achterhoeks,Achterhoeks,6.47521,52.021,Eurasia,Europe,Germany (DE) / Netherlands (NL),threatened,0,Indo-European,Germanic,Low Saxon-Low Franconian,Indo-European,Germanic,Northwest Germanic
achu1247,acv,Achumawi,Achumawi,-121.191,41.0979,North America,Americas,United States (US),nearly extinct,16,Hokan,Northern,Shasta-Palaihnihan,Palaihnihan,NA,NA
achu1248,acu,Achuar-Shiwiar,Achuar-Shiwiar,-77.2641,-2.82646,South America,Americas,Ecuador (EC) / Peru (PE),shifting,3000,Jivaroan,NA,NA,Chicham,Shuaric,NA
acol1236,ach,Acholi,Acoli,32.5147,3.57738,Africa,Africa,Sudan (SD) / Uganda (UG),not endangered,1170000,Nilo-Saharan,Eastern Sudanic,Western,Nilotic,Western Nilotic,Luo-Burun
acro1239,acs,Acroa,Acro?,-40.2145,-12.594,South America,Americas,Brazil (BR),extinct,0,Macro-Ge,Ge-Kaingang,Central,Nuclear-Macro-Je,Je,Je Central
adai1235,xad,NA,Adai,-92.0059,31.6314,North America,NA,United States (US),extinct,NA,NA,NA,NA,NA,NA,NA
adam1238,ads,Adamorobe Sign Language,Adamorobe Sign Language,-0.151,5.834,Africa,Africa,Ghana (GH),shifting,3400,Deaf sign language,NA,NA,Sign Language,Village Sign Language,NA
adam1253,fub,Adamawa Fulfulde,Adamawa Fulfulde,13.0773,8.14033,Africa,Africa,Cameroon (CM) / Chad (TD) / Eritrea (ER) / Ethiopia (ET) / Nigeria (NG) / Sudan (SD),not endangered,7611000,Niger-Congo,Atlantic-Congo,Northern,Atlantic-Congo,North-Central Atlantic,North Atlantic
adan1247,ada,Dangme,Adangme,0.13243,5.9437,Africa,Africa,Ghana (GH),not endangered,800000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
adan1248,adq,Adangbe,Adangbe,0.72716,6.50546,Africa,Africa,Ghana (GH) / Togo (TG),threatened,2000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
adan1251,adn,Adang,Adang,124.448,-8.18958,Papunesia,Asia,Indonesia (ID),shifting,31800,Trans-New Guinea,West,Alor-Pantar,Timor-Alor-Pantar,Alor-Pantar,Alor
