"iso_code","glottocode","wals_code","Name","genus","SVO_order","Glottocode","Name_SIL","Language.name","Longitude","Latitude","Area_GLOT","Continent_SIL","Country","Status_GLOT","Population_SIL","Family_SIL_Lv1","Family_SIL_Lv2","Family_SIL_Lv3","Family_GLOT_Lv1","Family_GLOT_Lv2","Family_GLOT_Lv3"
"aaa","ghot1243","gho","Ghotuo","Edoid",NA,"ghot1243","Ghotuo","Ghotuo",5.95663,7.11551,"Africa","Africa","Nigeria (NG)","not endangered",9000,"Niger-Congo","Atlantic-Congo","Benue-Congo","Atlantic-Congo","Volta-Congo","Benue-Congo"
"aal","afad1236","ktk","Kotoko","Biu-Mandara",NA,"afad1236","Afade","Afade",14.6343,12.0551,"Africa","Africa","Cameroon (CM) / Nigeria (NG)","threatened",31000,"Afro-Asiatic","Chadic","B","Afro-Asiatic","Chadic","Biu-Mandara"
"aar","afar1241","qaf","Qafar","Eastern Cushitic","1 SOV","afar1241","Afar","Afar",41.8083,12.2281,"Africa","Africa","Djibouti (DJ) / Eritrea (ER) / Ethiopia (ET)","not endangered",979000,"Afro-Asiatic","Cushitic","Saho-Afar","Afro-Asiatic","Cushitic","East Cushitic"
"aau","abau1245","aba","Abau","Upper Sepik","1 SOV","abau1245","Abau","Abau",141.324,-3.97222,"Papunesia","Pacific","Papua New Guinea (PG)","shifting",7270,"Sepik","Abau",NA,"Sepik",NA,NA
"abb","bank1256","bnk","Bankon","Bantoid","2 SVO","bank1256","Bankon","Bankon",9.6403,4.3702,"Africa","Africa","Cameroon (CM)","threatened",12000,"Niger-Congo","Atlantic-Congo","Benue-Congo","Atlantic-Congo","Volta-Congo","Benue-Congo"
"abe","west2630","abw","Abenaki (Western)","Algonquian",NA,"west2630","Western Abnaki","Western Abenaki",-72.6511,46.1381,"North America","Americas","Canada (CA)","nearly extinct",5,"Algic","Algonquian",NA,"Algic","Algonquian","Eastern Algonquian"
"abi","abid1235","abd","Abidji","Kwa",NA,"abid1235","Abidji","Abidji",-4.58421,5.65656,"Africa","Africa","C?te d'Ivoire (CI)","not endangered",50500,"Niger-Congo","Atlantic-Congo","Kwa","Atlantic-Congo","Volta-Congo","Kwa Volta-Congo"
"abj","akab1249","akb","Aka-Biada","Great Andamanese",NA,"akab1249","Aka-Bea","Aka-Bea",92.7818,12.3782,"Eurasia","Asia","India (IN)","extinct",0,"Andamanese","Great Andamanese",NA,"Great Andamanese","Middle-South Andamanese","South Great Andamanese"
"abk","abkh1244","abk","Abkhaz","Northwest Caucasian","1 SOV","abkh1244","Abkhaz","Abkhazian",41.1591,43.0562,"Eurasia","Asia","Georgia (GE) / Russian Federation (RU) / Turkey (TR)","threatened",101000,"North Caucasian","West Caucasian",NA,"Abkhaz-Adyge","Abkhaz-Abaza",NA
"abq","abaz1241","abz","Abaza","Northwest Caucasian",NA,"abaz1241","Abaza","Abaza",42,44.25,"Eurasia","Europe","Russian Federation (RU) / Turkey (TR)","threatened",38200,"North Caucasian","West Caucasian",NA,"Abkhaz-Adyge","Abkhaz-Abaza",NA
"abt","ambu1247","amb","Ambulas","Middle Sepik","1 SOV","ambu1247","Ambulas","Ambulas",143.059,-3.7801,"Papunesia","Pacific","Papua New Guinea (PG)","threatened",44000,"Sepik","Ndu",NA,"Ndu","Nuclear Ndu","Ambulas-Hanga-Hundi"
"abv","baha1259","abh","Arabic (Bahrain)","Semitic",NA,"baha1259","Baharna Spoken Arabic","Baharna Arabic",50.5808,26.2236,"Eurasia","Asia","Bahrain (BH) / Oman (OM)","not endangered",3e+05,"Afro-Asiatic","Semitic","South","Afro-Asiatic","Semitic","West Semitic"
"abz","abui1241","abv","Abui","Greater Alor","1 SOV","abui1241","Abui","Abui",124.588,-8.31058,"Papunesia","Asia","Indonesia (ID)","shifting",16000,"Trans-New Guinea","West","Alor-Pantar","Timor-Alor-Pantar","Alor-Pantar","Alor"
"aca","acha1250","acg","Achagua","Northern Arawakan","2 SVO","acha1250","Achagua","Achagua",-72.2005,4.38649,"South America","Americas","Colombia (CO)","shifting",250,"Arawakan","Maipuran","Inland","Arawakan","Northern Maipuran","Inland Northern Maipuran"
"acc","quic1275","aci","Ach穩","Mayan",NA,NA,"Cubulco Achi",NA,NA,NA,NA,"Americas",NA,NA,48300,"Mayan","Quichean-Mamean","Quichean",NA,NA,NA
"ace","achi1257","ace","Acehnese","Malayo-Sumbawan","7 No dominant order","achi1257","Aceh","Achinese",96.6032,3.90757,"Eurasia","Asia","Indonesia (ID)","threatened",3500000,"Austronesian","Malayo-Polynesian","North and East","Austronesian","Malayo-Polynesian","Malayo-Sumbawan"
"ach","acol1236","acl","Acholi","Nilotic","2 SVO","acol1236","Acholi","Acoli",32.5147,3.57738,"Africa","Africa","Sudan (SD) / Uganda (UG)","not endangered",1170000,"Nilo-Saharan","Eastern Sudanic","Western","Nilotic","Western Nilotic","Luo-Burun"
"aci","akac1240","akc","Aka-Cari","Great Andamanese",NA,"akac1240","Aka-Cari","Aka-Cari",92.9486,13.4909,"Eurasia","Asia","India (IN)","extinct",0,"Andamanese","Great Andamanese",NA,"Great Andamanese","North Andamanese-Akakede","Northern Great Andamanese"
"acm","meso1252","arq","Arabic (Iraqi)","Semitic","2 SVO","meso1252","Mesopotamian Spoken Arabic","Gilit Mesopotamian Arabic",43.1095,33.8178,"Eurasia","Asia","Iran, Islamic Republic of (IR) / Iraq (IQ) / Jordan (JO) / Syrian Arab Republic (SY) / Turkey (TR)","not endangered",1.2e+07,"Afro-Asiatic","Semitic","South","Afro-Asiatic","Semitic","West Semitic"
