"glottocode","society","family","macroarea","continent","vitality","Pop_area","Pop_indiv","EA005","EA015","EA015_2","EA033","EA043","EA202","per_wetqu","n_warm_month","elevSD","lang_rich","phylo_rich","id","Long","Lat"
"aari1239","Ubamer","sout2845","Africa","Africa",1,0.0801260111243008,0.00018452380952381,8,NA,NA,2,"unilineal",0.0000871625294173537,0.173976608187135,1,0.327058999443162,0.0793296089385475,0.131147540983607,"1035",37,6
"aari1239","Bako","sout2845","Africa","Africa",1,0.0801260111243008,0.00018452380952381,7,NA,NA,2,"unilineal",NA,0.173976608187135,1,0.327058999443162,0.0793296089385475,0.131147540983607,"1035",37,6
"aari1239","Shangama","sout2845","Africa","Africa",1,0.0801260111243008,0.00018452380952381,7,NA,NA,1,"unilineal",0.0000434125146517237,0.173976608187135,1,0.327058999443162,0.0793296089385475,0.131147540983607,"1035",37,6
"abab1239","Ababda","afro1255","Africa","Africa",NA,0.0729993232863228,NA,1,"agamy","no",1,"unilineal",0.000162162554729862,0,1,0.0752377745108042,0.00223463687150838,0.0163934426229508,"687",34,24
"abip1241","Abipón","guai1249","South America","Americas",0,0.000233489285336625,0,0,"agamy","no",0,"non-unilineal",0.0000621625209798508,0.214619883040936,0.75,0,0.00223463687150838,0.0163934426229508,"566",-61,-29
"abkh1244","Abkhaz","abkh1242","Eurasia","Asia",0.8,0.0704177705138275,0.000120238095238095,3,"exogamy","yes",1,"unilineal",NA,0.0821637426900585,0.333333333333333,0.778213087425307,0.0625698324022346,0.0983606557377049,"386",41,43
"abro1238","Abron","atla1278","Africa","Africa",1,0.0757022159500898,0.00125,8,"agamy","no",2,"unilineal",0.00093716281629245,0.278070175438596,1,0.0824858613970431,0.0983240223463687,0.0327868852459016,"1029",-2.15,7.53
"abui1241","Alorese","timo1261","Papunesia","Asia",0.6,0.273921842962445,0.000019047619047619,7,"exogamy","no",2,"non-unilineal",0.000124662542073608,0.282163742690059,1,0.171861120790381,0.417877094972067,0.147540983606557,"1109",124.26,-8.22
"abur1243","Assini","atla1278","Africa","Africa",1,0.0343754627474141,0.0000655952380952381,6,NA,NA,2,"unilineal",0.0000246625083235966,0.321929824561404,1,0.0339716326680845,0.093854748603352,0.0655737704918033,"1088",-3.58,5.27
"achu1247","Achumawi","pala1350","North America","Americas",0.2,0.0000139232414377086,0.000000019047619047619,0,"agamy","no",0,"non-unilineal",0.000000912500307968854,0.0798245614035088,0.166666666666667,0.119757651455615,0.0569832402234637,0.245901639344262,"410",-121,41
